=== PHASE 1 start: 750 candidats bruts ===
KEEP   1 389425653 FONDERIE ET PLASTURGIE SA (FPSA) (BELLIGNAT, tranche 12)
KEEP   2 341917813 AXIL PLASTURGIE (CIVRIEUX-D'AZERGUES, tranche 12)
KEEP   3 493246011 GRAF PLASTURGIE (DACHSTEIN, tranche 12)
KEEP   4 411580368 T.E.P. TECHNIQUE ET PLASTURGIE (BOUTTENCOURT, tranche 12)
KEEP   5 398899468 APPLICATION DEVELOPPEMENT PLASTURGIE 85 (ADP  (LES EPESSES, tranche 11)
KEEP   6 402055974 PLASTURGIE HAUTE PERFORMANCE PHP (PHP) (SALLES D'ANGLES, tranche 12)
KEEP   7 921425583 ANJOS INJECTION PLASTIQUE (A.I.P.) (TORCIEU, tranche 11)
KEEP   8 321472011 SOCIETE NATIONALE D'EXTRUSION ET D'INJECTION  (MONTREUIL, tranche 12)
KEEP   9 323298349 APPLICATION DE TECHNIQUES D'ELECTRO-EROSION M (AMBOISE, tranche 12)
KEEP  10 328025804 PLASTIQUE-INDUSTRIES (BRIGNAIS, tranche 12)
KEEP  11 315635987 ARTOIS PLASTIQUES (HOUDAIN, tranche 11)
KEEP  12 344471743 CENTRE PLASTIQUE SA (BRIARE, tranche 11)
KEEP  13 505134106 PLASTIQUES FACONNES DU BETHUNOIS (P.F.B) (VERQUIN, tranche 11)
--- progress: 25 interroges, 13 retenus ---
KEEP  14 390649903 PLASTIQUES INJECTES DU MARMANDAIS (IMEPSA MAR (CAUMONT-SUR-GARONNE, tranche 12)
KEEP  15 323813956 SA MOUSSES PLASTIQUES D'ARTOIS (FREVENT, tranche 12)
KEEP  16 318760030 LOZERIENNE PLASTIQUE SARL (MEYRUEIS, tranche 11)
KEEP  17 323505065 MECANIQUE PRECISION ISSOIRIENNE (MPI) (SAINT-REMY-DE-CHARGN, tranche 12)
KEEP  18 327745519 PRECISION MECANIQUE DU LOROUER (PML) (SAINT-VINCENT-DU-LOR, tranche 12)
KEEP  19 437977036 OMP OUTILLAGE MECANIQUE PRECISION (OMP) (SAINT-NICOLAS-D'ALIE, tranche 11)
KEEP  20 790272256 SOCIETE OUTILLAGE MECANIQUE DE PRECISION (SOM (ERNEE, tranche 12)
KEEP  21 379681778 SOCIETE MECANIQUE DE PRECISION (FLERS, tranche 12)
KEEP  22 322305335 MECANIQUE DE PRECISION DU BARROIS (MPB) (LIGNY-EN-BARROIS, tranche 12)
KEEP  23 319179891 MECANIQUE USINAGE DE PRECISION (MUP) (CORBIERES-EN-PROVENC, tranche 12)
KEEP  24 409296662 MAINTENANCE MECANIQUE DE PRECISION (SAINT-AVE, tranche 11)
KEEP  25 394159958 PRECISION MECANIQUE TECHNIQUE (PREMETEC) (SAVERDUN, tranche 11)
KEEP  26 414977298 MECANIQUE DE GRANDE PRECISION (VORAY SUR L'OGNON, tranche 11)
