=== PHASE 1 start: 750 candidats bruts ===
reprise: 450 deja interroges, 363 retenus
KEEP   1 781619358 SOC APPLIC VENTILATION TOLERIE (SAVETO) (STAPLE, tranche 12)
KEEP   2 423559640 T.P.M.S. - TOLERIE DE PRECISION - MECANO- SOU (MONTHOLON, tranche 12)
KEEP   3 341558799 ATELIER TOLERIE MECANIQUE PRECISION 77 (YEBLES, tranche 12)
KEEP   4 383388675 SOCIETE DE TOLERIE ENSEMBLE MECANO SOUDES (S. (LAMORLAYE, tranche 12)
KEEP   5 794303412 ATELIER INDUSTRIEL TOLERIE SOUDURE SATIP (AIT (VERRIERES-EN-ANJOU, tranche 12)
KEEP   6 911822682 CHAUDRONNERIE TOLERIE INDUSTRIELLE - BENNES A (BELFORET-EN-PERCHE, tranche 12)
KEEP   7 403853807 SOCIETE DE TOLERIE INDUSTRIELLE ET MECANIQUE  (ALBERT, tranche 12)
KEEP   8 316809870 SOCIETE INDUSTRIELLE DE TOLERIE POUR LE BATIM (CHOISY-LE-ROI, tranche 12)
KEEP   9 338216260 ETUDES INDUSTRIELLES TOLERIE A REALISATIONS C (SAINT-MARTIN-D'HERES, tranche 12)
KEEP  10 519592000 KUKA SYSTEMS GMBH (, tranche 12)
KEEP  11 873802045 COMOTOLERIE (COMOTOLERIE - COMO TOLERIE) (ANCENIS-SAINT-GEREON, tranche 12)
KEEP  12 534013172 SOCIETE DE FAIT RICUPERO (RICUPERO TOLERIE FI (PIREY, tranche 12)
KEEP  13 339895872 CREATE OUTILLAGE (VAULX-EN-VELIN, tranche 11)
KEEP  14 477586168 ARDENN OUTILLAGES (CHARLEVILLE-MEZIERES, tranche 11)
KEEP  15 307736520 RACODON OUTILLAGE (LA TALAUDIERE, tranche 11)
KEEP  16 393106893 TECHNI OUTILLAGES (INCHEVILLE, tranche 11)
KEEP  17 321263279 STE COURTEILLE OUTILLAGE (SAINT-JEAN-SUR-MAYEN, tranche 11)
KEEP  18 334847399 BOTEMO MOULES OUTILLAGE (SEVREMOINE, tranche 11)
KEEP  19 423296193 VIZA OUTILLAGE DE PRECISION (THIERS, tranche 11)
KEEP  20 404724841 CLEZARDIN MACHINES ET OUTILLAGES (MER, tranche 11)
KEEP  21 521791376 EATON OUTILLAGES SYSTEMES (BELIGNEUX, tranche 11)
KEEP  22 061502068 OUTILLAGE ET MECANIQUE GENERALE (OMG) (FONTANIL-CORNILLON, tranche 11)
KEEP  23 333542827 OUTILLAGE SPECIAL DE PRECISION (OSP) (YZEURE, tranche 11)
KEEP  24 301222568 MECANIQUE OUTILLAGE DECOUPAGE (MOD) (SAINT-LEGER-SOUS-CHO, tranche 11)
--- progress: 475 interroges, 387 retenus ---
KEEP  25 303375422 OUTILLAGES ET PLASTIQUES SERVICES (OPS) (SAINT-JEAN-DE-SOUDAI, tranche 11)
KEEP  26 317386258 ATELIER CHANITOIS D OUTILLAGE (ACOMEP) (CHAMPLITTE, tranche 11)
KEEP  27 401882568 LEXOVIENNE DE MECANIQUE ET OUTILLAGE (MEZIDON VALLEE D'AUG, tranche 11)
KEEP  28 399354570 MOULES ET OUTILLAGES DE L OUEST (BRISSAC LOIRE AUBANC, tranche 11)
KEEP  29 973500507 MOULES OUTILLAGES MECANIQUES (MOM) (GRIGNY, tranche 11)
KEEP  30 542038021 OUTILLAGE MECANIQUE DE PRECISION (OMP) (COMPIEGNE, tranche 11)
KEEP  31 582066569 DECOUPAGE SUR OUTILLAGE DE PRECISION (DECOUP) (VILLENAUXE-LA-GRANDE, tranche 11)
KEEP  32 542012638 MATERIEL OUTILLAGE RATIONNELS INDUSTRIE (MORI (ANGERVILLE, tranche 11)
KEEP  33 438020190 BMO BERGUY MECANIQUE OUTILLAGE (SAVIGNY-LE-TEMPLE, tranche 11)
KEEP  34 394029888 ATELIER FABRICATION OUTILLAGE PLASTIQUES (AFO (BRETEIL, tranche 11)
KEEP  35 522881978 ETUDE CONCEPTION OUTILLAGE TRAITEMENTS DE SUR (SEVRAN, tranche 11)
KEEP  36 381319755 SERVICE MACHINE OUTILLAGE TECHNIQUE 47 (SMOT  (MIRAMONT-DE-GUYENNE, tranche 11)
KEEP  37 418118139 OPAL OUTILLAGE PRESSE - AUZOU LAVOINE (OPAL) (SAINT-QUENTIN-LA-MOT, tranche 11)
KEEP  38 442548376 SOMP SOCIETE D OUTILLAGE ET DE MECANIQUE DE P (FROIDEFONTAINE, tranche 11)
KEEP  39 397780396 SOCIETE FALAISIENNE DE FABRICATION DE MOULES  (FALAISE, tranche 11)
KEEP  40 339286981 SOCIETE D'ETUDES ET CONSTRUCTIONS D'OUTILLAGE (SAINT-QUENTIN, tranche 11)
KEEP  41 479894719 OTEC OUTILLAGES ET TECHNIQUES (SAINTE-MARIE-AUX-CHE, tranche 11)
KEEP  42 494352537 LORRAINE MONTAGE MAINTENANCE INDUSTRIELLE (MA (BENAMENIL, tranche 11)
KEEP  43 320005192 BONNEFOND (LE PIAN-MEDOC, tranche 11)
KEEP  44 424637460 ERPO (ETUDE ET REALISATION DE PETITS OUTILLAG (TOULOUSE, tranche 11)
KEEP  45 347527012 GALLEZ OUTILLAGE (DOUVRIN, tranche 12)
KEEP  46 307546515 MANUFACTURE D OUTILLAGE (BERCHE, tranche 12)
KEEP  47 439678780 SIBILLE OUTILLAGE (SIBILLE OUTILLAGE) (MALATAVERNE, tranche 12)
KEEP  48 345297006 GP OUTILLAGE (SAINT-LAGER, tranche 12)
--- progress: 500 interroges, 411 retenus ---
KEEP  49 320130263 AMADA OUTILLAGE (VAL-DE-SCIE, tranche 12)
KEEP  50 349352351 SAGOP OUTILLAGES (SAINT-CLEMENT, tranche 12)
KEEP  51 379184591 SOCIETE D'OUTILLAGE POUR LA PRODUCTIQUE, LA R (INCHEVILLE, tranche 12)
KEEP  52 387998263 FRANCE MOULE ET OUTILLAGE (FMO) (LA FERTE MACE, tranche 12)
KEEP  53 353979818 ATELIERS OUTILLAGE PRODUCTION BEUCHEY (AOPB) (DANNEMARIE-SUR-CRETE, tranche 12)
KEEP  54 342395837 STE AFFUTAGE OUTILLAGE SERVICE (SILCUT) (AOS) (CHOLET, tranche 12)
KEEP  55 973501018 OUTILLAGE MECANIQUE DE PRECISION RIDARD (OMPR (SAINT-PRIEST, tranche 12)
KEEP  56 329666572 CERO CONCEPT REALISA OUTILLAGE (CHALLANS, tranche 12)
KEEP  57 353167240 SOCIETE D'APPLICATIONS ET DE REALISATIONS D'O (SURGERES, tranche 12)
KEEP  58 318503885 ATELIERS MECANIQUE PRECISION OUTILLAGE (NEOAX (FLEURINES, tranche 12)
KEEP  59 450757638 OUTILLAGES PRESSE INDUSTRIE DE L'OUEST (OPI O (VIRE NORMANDIE, tranche 12)
KEEP  60 955511423 SOC MECANIQUE ET OUTILLAGE DE PRECISION (SMOP (CHAPONOST, tranche 12)
KEEP  61 517485777 OUTILLAGE PRECISION CARBURE ACIER SOCIETE NOU (FONDETTES, tranche 12)
KEEP  62 798995445 SORI (TULLINS, tranche 12)
KEEP  63 802531053 MOULE A MADELEINES (PARIS, tranche 11)
KEEP  64 381850338 MECA MOULE (ENTRELACS, tranche 11)
KEEP  65 497754770 FABRICATION DE MOULE DU CENTRE 18 (FMC 18) (MERY-SUR-CHER, tranche 11)
KEEP  66 334749215 ENTREPRISE VAL BETON MOULE DE L'EST (EVBME) (GANDRANGE, tranche 11)
KEEP  67 430121764 ATELIER TECHNIQUE D'EQUIPEMENTS MOULE ATTEM (LA FLECHE, tranche 11)
KEEP  68 300022795 MERY PALETTES (MESGRIGNY, tranche 11)
KEEP  69 390813822 SOC CARIBEENNE DE LUNETTERIE (SCL) (BAIE-MAHAULT, tranche 11)
